windSpeed,windDir,windGust,windGustDir
1,337.5,2,247.5
1,337.5,1,337.5
1,315,2,315
1,315,2,315
3,315,6,292.5
2,315,3,337.5
1,315,3,67.5
2,315,3,0
6,315,14,67.5
2,292.5,3,247.5
3,292.5,5,292.5
2,292.5,4,225
3,270,4,270
3,270,4,225
5,270,7,270
2,270,3,270
3,270,6,247.5
3,270,5,247.5
3,270,6,225
3,270,5,225
6,270,13,180
1,270,3,157.5
2,270,4,270
1,270,2,270
1,270,2,270
2,270,5,202.5
1,270,2,270
3,270,4,270
3,270,4,247.5
1,270,2,270
2,270,5,225
2,270,3,270
1,270,2,270
1,270,3,270
1,270,2,270
1,270,2,270
1,270,2,270
1,270,2,270
1,270,1,270
2,270,2,270
1,270,2,270
1,270,2,270
1,270,2,270
1,270,2,270
2,270,4,225
1,270,1,270
1,270,3,90
2,270,6,45
5,247.5,6,202.5
3,247.5,7,225
3,247.5,4,247.5
3,247.5,5,247.5
5,247.5,7,247.5
4,247.5,6,270
5,247.5,9,225
3,247.5,4,247.5
4,247.5,6,247.5
5,247.5,7,270
6,247.5,8,270
4,247.5,6,247.5
3,247.5,8,225
6,247.5,8,225
5,247.5,8,247.5
5,247.5,6,247.5
5,247.5,7,247.5
3,247.5,4,202.5
4,247.5,5,180
3,247.5,4,225
6,247.5,8,247.5
4,247.5,7,270
5,247.5,7,247.5
4,247.5,6,247.5
6,247.5,8,247.5
8,247.5,10,247.5
8,247.5,10,247.5
7,247.5,9,247.5
4,247.5,6,247.5
5,247.5,7,247.5
4,247.5,5,247.5
6,247.5,7,247.5
5,247.5,8,247.5
6,247.5,7,247.5
3,247.5,6,247.5
5,247.5,6,247.5
4,247.5,6,247.5
4,247.5,5,247.5
4,247.5,5,247.5
5,247.5,8,225
3,247.5,7,225
6,247.5,10,247.5
4,247.5,8,270
5,247.5,7,247.5
5,247.5,6,247.5
5,247.5,7,247.5
6,247.5,8,247.5
5,247.5,7,180
7,247.5,9,247.5
7,247.5,9,247.5
3,247.5,6,247.5
5,247.5,6,270
4,247.5,6,247.5
4,247.5,7,225
1,247.5,5,202.5
4,247.5,6,247.5
7,247.5,10,247.5
6,247.5,8,247.5
6,247.5,10,247.5
5,247.5,7,247.5
6,247.5,11,247.5
4,247.5,6,247.5
5,247.5,9,247.5
5,247.5,6,180
6,247.5,10,247.5
6,247.5,8,247.5
6,247.5,9,225
6,247.5,9,247.5
6,247.5,10,225
6,247.5,11,247.5
5,247.5,9,247.5
6,247.5,9,247.5
5,247.5,7,225
3,247.5,5,225
1,247.5,2,247.5
4,247.5,9,270
5,247.5,9,247.5
6,247.5,9,247.5
3,247.5,5,225
4,247.5,6,247.5
4,247.5,5,247.5
4,247.5,5,247.5
3,247.5,6,270
3,247.5,5,225
3,247.5,6,225
4,247.5,6,270
4,247.5,6,270
6,247.5,8,247.5
5,247.5,7,180
5,247.5,7,247.5
6,247.5,8,247.5
3,247.5,6,247.5
3,247.5,5,202.5
3,247.5,5,247.5
4,247.5,6,247.5
6,247.5,8,247.5
4,247.5,6,247.5
7,247.5,11,225
6,247.5,10,247.5
7,247.5,10,225
5,247.5,7,225
5,247.5,7,225
5,247.5,9,247.5
7,247.5,13,225
5,247.5,7,247.5
6,247.5,13,247.5
6,247.5,9,225
6,247.5,8,225
6,247.5,8,247.5
1,247.5,4,225
2,247.5,5,247.5
3,247.5,5,247.5
2,247.5,5,225
3,247.5,5,247.5
4,247.5,6,225
5,247.5,8,247.5
5,247.5,8,247.5
4,247.5,7,225
5,247.5,6,247.5
6,247.5,8,225
7,247.5,10,247.5
8,247.5,10,270
5,247.5,6,247.5
4,247.5,6,247.5
4,247.5,6,247.5
5,247.5,8,247.5
7,247.5,12,225
7,247.5,13,247.5
6,247.5,9,247.5
6,247.5,7,225
5,247.5,7,270
5,247.5,7,225
2,247.5,3,247.5
4,247.5,6,247.5
7,247.5,12,247.5
6,247.5,10,270
3,247.5,6,247.5
6,247.5,8,270
5,247.5,7,202.5
9,247.5,12,247.5
6,247.5,9,225
5,247.5,7,270
4,247.5,7,225
6,247.5,9,225
4,247.5,6,225
4,247.5,8,247.5
4,247.5,9,247.5
6,247.5,8,247.5
7,247.5,10,247.5
7,247.5,9,225
4,247.5,6,247.5
7,247.5,10,225
7,247.5,10,225
6,247.5,9,247.5
7,247.5,12,247.5
6,247.5,9,247.5
8,247.5,11,247.5
4,247.5,8,247.5
5,247.5,7,247.5
8,247.5,13,247.5
8,247.5,11,225
4,247.5,8,180
7,247.5,11,247.5
5,247.5,11,247.5
7,247.5,10,270
6,247.5,10,225
7,247.5,12,247.5
4,247.5,5,270
7,247.5,13,247.5
6,247.5,10,247.5
8,247.5,12,247.5
6,247.5,9,247.5
3,247.5,5,225
6,247.5,8,247.5
5,247.5,8,247.5
5,247.5,6,247.5
6,247.5,9,247.5
5,247.5,6,247.5
5,247.5,8,225
2,247.5,3,247.5
4,247.5,8,247.5
2,247.5,3,270
4,247.5,8,247.5
5,247.5,8,225
5,247.5,8,247.5
4,247.5,7,202.5
5,247.5,9,247.5
4,247.5,6,247.5
5,247.5,7,247.5
8,247.5,12,247.5
6,247.5,9,247.5
4,247.5,7,247.5
5,247.5,7,247.5
6,247.5,12,247.5
7,247.5,11,225
8,247.5,10,247.5
6,247.5,11,247.5
8,247.5,12,225
7,247.5,13,247.5
6,247.5,11,247.5
5,247.5,7,247.5
4,247.5,5,247.5
4,247.5,10,247.5
6,247.5,9,180
6,247.5,9,225
6,247.5,9,247.5
6,247.5,10,202.5
6,247.5,9,247.5
5,247.5,7,247.5
4,247.5,7,225
6,247.5,8,270
3,247.5,5,247.5
3,247.5,4,247.5
4,247.5,6,180
6,247.5,7,202.5
3,247.5,6,202.5
4,247.5,7,247.5
4,247.5,7,225
3,247.5,6,247.5
4,247.5,8,247.5
3,247.5,6,225
5,247.5,7,270
4,247.5,7,247.5
5,247.5,7,247.5
4,247.5,6,247.5
2,247.5,7,247.5
4,247.5,6,247.5
2,247.5,3,225
4,247.5,7,247.5
2,247.5,5,247.5
3,247.5,4,202.5
2,247.5,4,247.5
3,247.5,6,247.5
3,247.5,5,225
3,247.5,4,225
1,247.5,2,247.5
3,247.5,7,225
1,247.5,3,247.5
4,247.5,7,247.5
1,247.5,5,247.5
3,247.5,7,247.5
3,247.5,6,247.5
2,247.5,3,180
3,247.5,5,247.5
1,247.5,4,225
2,247.5,4,247.5
1,247.5,2,225
2,247.5,4,247.5
1,247.5,2,247.5
3,247.5,4,247.5
3,247.5,4,247.5
2,247.5,3,202.5
3,247.5,4,247.5
1,247.5,3,247.5
2,247.5,3,247.5
2,247.5,2,247.5
1,247.5,1,247.5
1,247.5,2,247.5
2,247.5,3,247.5
2,247.5,4,247.5
3,247.5,4,247.5
3,247.5,6,247.5
1,247.5,2,247.5
2,247.5,4,225
4,247.5,6,247.5
4,247.5,5,270
4,247.5,5,247.5
4,247.5,5,247.5
2,247.5,3,247.5
1,247.5,3,247.5
2,247.5,3,247.5
1,247.5,2,247.5
2,247.5,4,247.5
3,247.5,4,247.5
4,247.5,5,247.5
4,247.5,6,225
3,247.5,5,247.5
3,247.5,6,247.5
3,247.5,4,247.5
3,247.5,4,247.5
2,247.5,4,247.5
2,247.5,3,247.5
2,247.5,4,247.5
2,247.5,4,247.5
3,247.5,4,247.5
2,247.5,4,247.5
4,247.5,5,247.5
4,247.5,7,247.5
3,247.5,4,247.5
2,247.5,3,247.5
2,247.5,3,247.5
1,247.5,3,247.5
1,247.5,3,247.5
3,247.5,4,225
1,247.5,1,247.5
1,247.5,2,247.5
1,247.5,3,247.5
2,247.5,4,247.5
1,247.5,2,247.5
3,247.5,5,247.5
4,247.5,5,247.5
4,247.5,5,247.5
3,247.5,4,225
2,247.5,3,225
3,247.5,4,225
3,247.5,4,247.5
2,247.5,3,247.5
2,247.5,3,247.5
1,247.5,2,247.5
1,247.5,3,247.5
2,247.5,3,225
1,247.5,3,247.5
2,247.5,4,247.5
3,247.5,5,225
5,247.5,6,225
3,247.5,4,247.5
3,247.5,4,247.5
2,247.5,4,247.5
2,247.5,4,247.5
2,247.5,3,247.5
2,247.5,3,247.5
1,247.5,2,247.5
1,247.5,1,247.5
1,247.5,2,270
1,247.5,3,247.5
1,247.5,2,247.5
2,247.5,2,247.5
1,247.5,2,247.5
1,247.5,2,247.5
1,247.5,1,247.5
1,247.5,2,247.5
1,247.5,2,247.5
1,247.5,2,247.5
1,247.5,2,247.5
1,247.5,2,247.5
1,247.5,3,247.5
1,247.5,3,247.5
1,247.5,3,247.5
1,247.5,1,247.5
1,247.5,2,247.5
1,247.5,2,247.5
1,247.5,1,247.5
2,247.5,4,157.5
4,225,4,247.5
8,225,9,247.5
3,225,4,225
1,225,4,247.5
3,225,7,247.5
5,225,8,247.5
4,225,6,247.5
3,225,4,225
5,225,7,225
3,225,6,225
5,225,8,225
4,225,5,202.5
4,225,7,202.5
5,225,9,202.5
5,225,7,247.5
6,225,9,225
7,225,9,225
6,225,8,225
7,225,10,225
3,225,6,225
3,225,5,247.5
5,225,9,247.5
6,225,9,247.5
3,225,4,270
3,225,7,247.5
3,225,5,247.5
4,225,6,247.5
2,225,4,225
4,225,7,225
6,225,11,247.5
4,225,11,247.5
4,225,6,202.5
3,225,4,225
3,225,5,202.5
4,225,5,247.5
6,225,10,225
6,225,10,225
5,225,9,247.5
6,225,10,225
5,225,8,225
5,225,9,225
6,225,9,225
3,225,4,270
4,225,6,202.5
4,225,7,225
2,225,5,225
4,225,6,247.5
6,225,9,247.5
4,225,7,270
3,225,6,247.5
2,225,4,225
6,225,10,247.5
7,225,11,247.5
6,225,8,225
5,225,8,247.5
7,225,11,202.5
3,225,7,225
3,225,6,225
4,225,6,270
3,225,5,270
4,225,7,225
3,225,5,225
4,225,10,270
3,225,7,247.5
3,225,6,157.5
4,225,7,180
5,225,8,225
6,225,9,247.5
7,225,9,247.5
3,225,5,225
4,225,7,225
3,225,6,180
2,225,4,292.5
4,225,7,270
2,225,4,247.5
5,225,8,247.5
6,225,8,270
6,225,9,247.5
6,225,9,247.5
6,225,9,225
6,225,7,247.5
4,225,9,270
7,225,12,247.5
5,225,8,270
4,225,6,202.5
6,225,9,270
7,225,9,225
6,225,9,225
7,225,10,225
4,225,8,225
4,225,6,225
6,225,8,225
5,225,9,247.5
3,225,5,247.5
5,225,7,202.5
4,225,6,225
3,225,5,225
6,225,10,225
6,225,8,247.5
4,225,5,225
8,225,10,247.5
4,225,9,225
7,225,9,247.5
8,225,11,225
7,225,9,225
6,225,11,270
5,225,7,202.5
5,225,8,225
6,225,9,225
7,225,10,247.5
5,225,7,225
7,225,12,247.5
9,225,11,225
8,225,11,225
6,225,10,247.5
12,225,17,225
4,225,7,225
3,225,6,225
4,225,8,247.5
5,225,8,225
5,225,7,225
5,225,7,247.5
4,225,7,202.5
4,225,6,247.5
5,225,7,247.5
4,225,8,225
6,225,11,225
3,225,4,225
4,225,6,225
4,225,8,247.5
2,225,4,202.5
1,225,2,225
5,225,9,225
3,225,5,202.5
3,225,8,225
4,225,6,225
4,225,7,225
5,225,7,202.5
3,225,4,180
2,225,4,202.5
4,225,7,225
5,225,7,202.5
5,225,6,247.5
1,225,5,225
1,225,5,247.5
4,225,6,202.5
2,225,3,225
3,225,4,225
3,225,5,225
3,225,6,225
3,225,3,180
3,225,5,225
4,225,7,247.5
2,225,5,225
2,225,5,180
4,225,6,247.5
2,225,6,270
1,225,2,202.5
1,225,3,225
3,225,4,225
1,225,3,225
1,225,3,180
2,225,4,225
1,225,3,247.5
2,225,5,225
2,225,2,225
2,225,3,180
3,225,5,225
2,225,3,247.5
1,225,2,225
1,225,2,225
1,225,2,225
1,225,2,225
2,225,3,270
1,225,3,225
2,225,4,225
1,225,2,225
1,225,3,225
2,225,3,225
3,225,3,247.5
2,225,3,225
2,225,3,180
2,225,3,225
2,225,5,247.5
2,225,3,225
2,225,3,180
4,225,6,225
3,225,4,225
4,225,4,247.5
2,225,4,247.5
1,225,2,225
1,225,2,225
2,225,2,225
3,225,5,225
2,225,6,225
2,225,3,247.5
1,225,3,225
2,225,3,225
2,225,5,225
4,225,4,225
3,225,5,247.5
2,225,4,247.5
2,225,3,225
3,225,4,225
3,225,4,270
3,225,4,247.5
3,225,4,247.5
2,225,3,180
2,225,5,247.5
2,225,3,225
4,225,5,270
2,225,3,247.5
2,225,2,225
1,225,1,225
2,225,3,225
1,225,3,225
1,225,3,225
3,225,5,225
2,225,5,247.5
2,225,4,247.5
3,225,5,225
2,225,3,202.5
3,225,5,225
1,225,2,247.5
2,225,4,225
2,225,4,225
2,225,3,225
1,225,2,225
1,225,2,247.5
2,225,5,247.5
1,225,2,225
1,225,2,225
1,225,6,247.5
1,225,2,225
2,225,3,225
1,225,3,225
1,225,2,225
1,225,3,225
1,225,3,225
1,225,2,225
1,225,2,225
1,225,2,225
1,225,3,225
1,225,2,135
3,225,9,90
2,225,4,225
3,202.5,3,247.5
3,202.5,4,225
1,202.5,2,202.5
4,202.5,6,247.5
3,202.5,6,202.5
